Sec,TC (C),Amb (C)
0,39.5,17.69
5,40,17.79
10,40,17.89
15,40.25,18.09
20,39.75,17.99
25,40.25,18.09
30,40.25,17.89
35,39.75,17.89
40,39.5,17.99
45,39.5,18.09
50,39.5,17.99
55,39.5,18.09
60,40,18.09
65,39.75,18.19
70,40.25,18.09
75,40.75,18.09
80,41,17.99
85,41.25,18.09
90,41.25,17.99
95,41.5,17.99
100,41.25,17.5
105,41,17.3
110,40.75,17.1
115,41.25,17
120,41,16.51
125,40.75,16.31
130,40.75,16.21
135,40.5,16.12
140,40.5,16.02
145,40.5,15.92
150,40.5,15.82
155,40.75,15.62
160,40.75,15.62
165,40.5,15.62
170,40.25,15.62
175,40.5,15.72
180,40.75,15.72
185,41,15.82
190,41.5,15.92
195,42,15.92
200,42,15.82
205,42.75,15.82
210,43.5,15.92
216,43.75,16.02
221,44,16.02
226,44,16.02
231,43.5,16.12
236,43.25,16.12
241,43.25,16.02
246,42.75,15.92
251,42.5,16.12
256,42.75,16.21
261,43,16.12
266,43,16.02
271,43.25,16.21
276,43.5,16.41
281,44,16.41
286,44.5,16.41
291,44.25,16.51
296,44.5,16.61
301,45,16.71
306,45.25,16.61
311,45.5,16.71
316,45.75,16.9
321,45.5,16.61
326,45.25,16.71
331,45.5,16.61
336,46,16.81
341,47.25,17.2
346,48.25,17.4
351,49.25,17.2
356,50.25,17.1
361,50.5,17.5
366,52,17.5
371,53,17.5
376,53.25,17.1
381,53,16.71
386,52.5,16.61
391,52.5,16.31
396,52.5,16.21
401,52.5,16.12
406,52.75,16.12
411,52.5,15.92
416,52.5,15.82
421,52.75,15.62
426,52.75,15.72
431,52.75,15.72
436,52.5,15.82
441,52.5,15.72
447,52.5,15.72
452,53.25,15.72
457,53.25,15.82
462,53,15.92
467,53,16.02
472,53,16.21
477,52.75,16.21
482,52.5,16.21
487,52,16.21
492,52.25,16.12
497,52.25,15.82
502,52.25,15.82
507,52,15.82
512,52.5,15.82
517,53,15.82
522,53,15.82
527,53,15.82
532,53.25,15.82
537,53.5,15.72
542,53.5,15.72
547,54.5,15.82
552,54.25,15.82
557,54,15.92
562,54,16.12
567,54.75,16.51
572,56.25,16.9
577,58,17.3
582,60.5,17.5
587,62.5,17.69
592,64.75,17.89
597,66.5,17.89
602,67.75,17.99
607,69.25,18.19
612,70.5,18.09
617,72,18.09
622,73.25,17.99
627,74,18.09
632,74.75,18.19
637,75.5,18.19
642,76.25,18.19
647,76.75,18.19
652,77,18.28
657,77.25,18.09
662,77.5,18.19
667,77.75,18.09
673,78,18.19
678,77.75,18.19
683,77.5,18.09
688,76.5,17.79
693,74.75,17.5
698,72.5,17
703,70.5,16.81
708,68.75,16.61
713,67.5,16.71
718,66.5,16.61
723,65.25,16.51
728,63.75,16.41
733,62,16.41
738,61.25,16.31
743,60,16.21
748,59.25,16.12
753,58.75,16.21
758,57,16.02
763,56.75,16.21
768,56.75,16.12
773,57,16.12
778,57.25,15.92
783,57.25,16.02
788,57,16.02
793,57.75,15.92
798,57,15.92
803,57,15.82
808,56.75,15.82
813,56.5,15.72
818,56.75,15.72
823,56.75,15.82
828,56.75,15.82
833,57.25,15.72
838,56.75,15.72
843,57.75,15.92
848,58,15.92
853,58.25,15.82
858,58.5,15.92
863,58,15.92
868,58,15.92
873,58.75,15.92
878,58.25,15.82
883,58,15.92
888,57.75,15.92
893,57.25,15.82
899,57.75,15.92
904,58.25,15.92
909,59,15.92
914,58.5,15.92
919,58.5,15.92
924,59,15.82
929,59.25,15.82
934,59.75,15.92
939,59.75,15.72
944,60,15.82
949,60.5,15.82
954,61,16.02
959,61.25,16.02
964,60.75,15.92
969,60.75,16.02
974,60.25,15.92
979,60.25,16.02
984,60.5,16.21
989,59.5,16.31
994,59,16.31
999,59,16.21
1004,58.75,16.12
1009,59,16.12
1014,59,15.92
1019,59.5,15.92
1024,59,16.21
1029,59,16.12
1034,58.5,16.41
1039,59,16.21
1044,59.25,16.31
1049,59.25,16.12
1054,59.5,16.12
1059,59.5,16.12
1064,60.5,16.12
1069,61,16.02
1074,61,16.02
1079,61.25,16.41
1084,61,16.41
1089,60.5,16.41
1094,61.5,16.51
1099,61.5,16.12
1104,61.5,15.92
1109,61.5,16.02
1114,61.75,15.82
1119,61.25,15.92
1124,61,16.02
1129,61.75,16.21
1135,63.5,16.61
1140,67,16.71
1145,69.5,17.1
1150,71.25,17.3
